id,genres
761140,Action
761140,Casual
761140,Indie
761140,Simulation
761140,Strategy
643980,Free to Play
643980,Indie
643980,RPG
643980,Strategy
670290,Casual
670290,Free to Play
670290,Indie
670290,Simulation
670290,Sports
767400,Action
767400,Adventure
767400,Casual
773570,nan
772540,Action
772540,Adventure
772540,Simulation
774276,Free to Play
774276,Indie
774276,Simulation
774276,Sports
774277,Free to Play
774277,Indie
774277,Simulation
774277,Sports
774278,Free to Play
774278,Indie
774278,Simulation
774278,Sports
724910,nan
770380,Action
770380,Adventure
770380,Casual
770380,Indie
770380,RPG
768880,Casual
768880,Indie
765320,Casual
765320,Indie
765320,Simulation
773650,Adventure
773650,Casual
773650,Indie
773650,Simulation
773650,Strategy
774271,Free to Play
774271,Indie
774271,Simulation
774271,Sports
773690,Adventure
773690,Casual
773690,Indie
773690,Simulation
773690,Strategy
774279,Free to Play
774279,Indie
774279,Simulation
774279,Sports
772590,nan
640250,nan
768060,Action
768060,Adventure
768060,Indie
711440,nan
775880,Racing
775880,Simulation
775880,Sports
775881,Racing
775881,Simulation
775881,Sports
653960,Action
653960,Indie
777910,nan
282010,Action
282010,Indie
282010,Racing
70,Action
752360,Action
752360,Indie
752360,RPG
594200,nan
766850,Casual
766850,Indie
766850,Simulation
754360,Action
754360,Adventure
754360,RPG
716110,Adventure
716110,Casual
716110,Indie
716110,RPG
1640,Strategy
1630,Strategy
2400,Action
2400,Indie
2400,RPG
759920,Action
759920,Indie
759920,Strategy
759920,Early Access
603280,Action
603280,Adventure
603280,Indie
603280,RPG
753110,Casual
753110,Strategy
753110,Early Access
753100,Action
753100,Indie
769350,nan
764280,Action
764280,Adventure
764280,Casual
758550,Adventure
758550,Casual
758550,Free to Play
758550,Indie
3800,Action
1520,Indie
1520,Strategy
2420,Action
2420,Indie
2420,RPG
4000,Indie
4000,Simulation
4230,Racing
4900,Casual
4900,Indie
2520,Casual
2520,Indie
6200,Strategy
6210,Strategy
6300,Adventure
6300,RPG
2990,Racing
6220,Racing
6510,Action
6510,Adventure
3980,Strategy
1700,RPG
6310,Action
6310,Adventure
6310,RPG
3990,Strategy
7610,Strategy
7600,Strategy
7620,Strategy
2540,Casual
2540,Indie
7650,Strategy
8000,Action
8000,Adventure
6550,Action
8200,Action
8200,Adventure
2290,Action
8210,Action
8210,Adventure
2280,Action
9160,Action
2300,Action
2270,Action
9010,Action
9040,Action
9000,Action
3810,Action
9030,Action
2310,Action
3230,Strategy
9310,Strategy
7670,Action
7670,RPG
4570,Strategy
4580,Strategy
4760,Strategy
4770,Strategy
50970,Casual
12130,Action
12160,Racing
12150,Action
7000,Action
7000,Adventure
12140,Action
17480,Strategy
12500,Casual
12310,RPG
12310,Casual
12310,Adventure
12510,Strategy
12530,Action
12530,Adventure
12530,Strategy
12520,Racing
8100,Action
2780,Action
9730,Simulation
9710,Action
9800,Action
9800,Adventure
9760,Action
2700,Simulation
2700,Strategy
2710,Action
13200,Action
13250,Action
13000,Casual
13000,Indie
13560,Action
13520,Action
13240,Action
13540,Action
15210,Simulation
16180,Casual
16180,Simulation
3520,Casual
15970,Casual
15950,Casual
15960,Casual
15900,Casual
15910,Casual
15930,Casual
15160,Simulation
15920,Casual
15080,Action
15080,Adventure
15200,Simulation
15320,Simulation
15240,Simulation
8310,Adventure
12600,Racing
8320,Adventure
12590,Racing
12580,nan
12560,Simulation
12570,nan
12540,Casual
11050,Adventure
11040,Adventure
11040,RPG
19500,Adventure
19500,Indie
11260,Simulation
11260,Strategy
19200,Action
19200,Indie
12360,Racing
15710,Adventure
15700,Adventure
8660,Racing
7770,Strategy
7660,Strategy
7760,Strategy
20510,Action
20510,RPG
17330,Action
17300,Action
7730,Strategy
20900,Action
20900,RPG
1530,Indie
8690,Racing
17120,Strategy
17120,Simulation
16810,Strategy
19830,Action
21000,Action
21000,Adventure
4460,Simulation
4460,Strategy
17140,RPG
17140,Strategy
15390,Action
21300,Indie
21300,Casual
3050,Racing
15380,Strategy
19800,Action
15370,Strategy
19930,Strategy
15350,Casual
19810,Action
3540,Casual
22000,Indie
2820,Action
2820,Simulation
2820,Strategy
1230,Action
18300,Casual
18300,Indie
20200,Indie
20200,Casual
20200,Sports
12200,Action
12200,Adventure
19900,Action
11240,Action
11240,Indie
11240,Strategy
256522,Simulation
275144,Simulation
256521,Simulation
222569,Simulation
256535,Simulation
256611,Simulation
256576,Simulation
9480,Action
17470,Action
12770,RPG
17410,Action
17410,Adventure
18500,Indie
18500,Strategy
16450,Action
15400,Strategy
15400,Indie
18600,Indie
18600,Strategy
11340,Action
11340,Indie
25830,Strategy
23460,Action
23460,Adventure
23460,Strategy
10600,Strategy
21010,Action
22180,Action
22180,Adventure
22180,Indie
13210,Action
12640,RPG
27020,Indie
27020,Simulation
24740,Racing
26000,Action
26000,Indie
26006,Action
26006,Indie
26005,Action
26005,Indie
11330,Casual
11330,Indie
27800,Indie
9850,Simulation
9850,Strategy
3600,Casual
29580,RPG
29580,Massively Multiplayer
29540,RPG
