user_id,user_url,posted,item_id,recommend,sentiment
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,2011-11-05,1250,True,2
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,2011-07-15,22200,True,2
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,2011-04-21,43110,True,2
js41637,http://steamcommunity.com/id/js41637,2014-06-24,251610,True,2
js41637,http://steamcommunity.com/id/js41637,2013-09-08,227300,True,0
js41637,http://steamcommunity.com/id/js41637,2013-11-29,239030,True,0
evcentric,http://steamcommunity.com/id/evcentric,2015-12-04,370360,True,2
evcentric,http://steamcommunity.com/id/evcentric,2014-11-03,237930,True,2
evcentric,http://steamcommunity.com/id/evcentric,2014-10-15,263360,True,0
evcentric,http://steamcommunity.com/id/evcentric,2014-10-15,107200,True,2
evcentric,http://steamcommunity.com/id/evcentric,2014-10-15,224500,True,2
doctr,http://steamcommunity.com/id/doctr,2013-10-14,250320,True,2
doctr,http://steamcommunity.com/id/doctr,2012-07-28,20920,True,2
doctr,http://steamcommunity.com/id/doctr,2012-06-02,204100,True,2
doctr,http://steamcommunity.com/id/doctr,2014-06-29,224600,True,2
doctr,http://steamcommunity.com/id/doctr,2012-11-22,207610,True,0
doctr,http://steamcommunity.com/id/doctr,2012-02-23,108710,True,2
maplemage,http://steamcommunity.com/id/maplemage,2014-04-15,211420,True,1
maplemage,http://steamcommunity.com/id/maplemage,2013-12-23,211820,True,2
maplemage,http://steamcommunity.com/id/maplemage,2014-03-14,730,True,2
maplemage,http://steamcommunity.com/id/maplemage,2013-07-11,204300,True,2
Wackky,http://steamcommunity.com/id/Wackky,2014-05-05,249130,True,0
Wackky,http://steamcommunity.com/id/Wackky,2012-12-24,207610,True,0
Wackky,http://steamcommunity.com/id/Wackky,2012-10-21,550,True,1
Wackky,http://steamcommunity.com/id/Wackky,2012-03-20,65800,True,0
Wackky,http://steamcommunity.com/id/Wackky,2012-03-09,220,True,2
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,2015-02-01,72850,True,0
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,2014-06-20,440,True,1
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,2014-08-25,304930,True,1
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,2013-12-25,4000,True,1
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,2012-06-23,42910,True,1
death-hunter,http://steamcommunity.com/id/death-hunter,2015-09-05,232090,True,2
death-hunter,http://steamcommunity.com/id/death-hunter,2015-03-30,1250,True,2
death-hunter,http://steamcommunity.com/id/death-hunter,2014-02-19,4000,True,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,2014-07-14,304930,True,0
DJKamBer,http://steamcommunity.com/id/DJKamBer,2013-04-27,570,True,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,2015-07-20,218620,True,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,2013-11-04,224260,True,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,2013-07-12,1250,True,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,2012-08-19,440,True,1
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,2015-06-19,730,True,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,2014-09-20,440,True,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,2014-09-07,49520,True,0
76561198043472122,http://steamcommunity.com/profiles/76561198043472122,2014-12-19,33440,False,0
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,2015-02-17,220200,True,2
PPanther,http://steamcommunity.com/id/PPanther,2014-06-07,211820,True,2
devvonst,http://steamcommunity.com/id/devvonst,2014-02-12,440,True,2
devvonst,http://steamcommunity.com/id/devvonst,2014-02-09,218740,True,1
devvonst,http://steamcommunity.com/id/devvonst,2015-10-31,550,True,2
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,2015-02-04,238090,True,2
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,2014-04-05,277430,True,2
76561198058373434,http://steamcommunity.com/profiles/76561198058373434,2015-01-08,8870,True,1
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,2015-10-26,368230,True,0
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,2013-03-20,33930,True,2
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,2015-12-28,359320,False,0
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,2015-05-19,219640,True,2
tru_mu_,http://steamcommunity.com/id/tru_mu_,2015-12-15,287980,True,2
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,2015-08-21,208090,True,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,2014-10-17,242700,True,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,2014-06-27,570,False,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,2014-04-28,224260,True,1
SavageEeEe,http://steamcommunity.com/id/SavageEeEe,2015-11-12,221100,True,2
76561198076909484,http://steamcommunity.com/profiles/76561198076909484,2014-06-18,570,True,0
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,2014-11-20,331470,True,2
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,2014-05-29,4000,True,2
